psraid,sex,lifeq,snsuse,age,educ,race,inc,hisp
101913,2,5, ,56,3,1,2,2
101917,2,4,1,67,3,1,3,2
101919,1,2,1,20,5,1,4,2
101920,2,3, ,85,6,1,98,2
101929,2,3, ,59,5,1,7,2
101939,1,4,1,25,5,2,3,1
101942,2,3,88,68,3,1,3,2
101943,2,1,1,43,7,1,8,2
101944,1,3, ,76,3,1,5,2
101947,2,3, ,59,7,2,8,2
101951,2,3,1,48,6,1,4,2
101954,1,4,88,66,3,2,1,2
101957,2,3, ,67,5,1,98,2
101958,2,4, ,69,6,1,8,2
101961,1,2,1,29,3,3,5,2
101965,2,1, ,92,3,1,2,2
101981,1,5, ,69,1,1,3,2
101983,2,3, ,60,3,1,99,2
101986,2,5,1,55,5,2,3,2
101992,1,4, ,84,3,1,99,2
101997,1,3,1,55,3,1,8,2
101998,2,2,88,87,5,1,7,2
102008,2,2, ,59,3,3,98,1
102012,1,1, ,27,5,1,6,2
102014,1,1,1,65,6,1,7,2
102018,2,2, ,60,7,1,3,2
102022,1,3, ,85,3,1,99,2
102026,2,3, ,80,1,1,98,2
102027,2,3,1,23,6,1,99,2
102030,1,3, ,70,3,1,2,2
102031,1,4,1,19,5,1,7,2
102033,2,2,11,90,5,1,4,2
102038,1,4,1,72,2,1,5,2
102057,1,3, ,39,2,1,6,2
102061,2,4,1,40,5,1,4,2
102067,2,4, ,74,8,8,98,1
102069,2,2, ,39,4,1,5,2
102072,2,1,1,28,5,1,6,2
102083,2,2, ,72,7,1,98,2
102085,1,4, ,37,3,1,2,1
102088,2,1,1,42,7,4,8,2
102094,2,1, ,47,7,2,9,2
102098,2,4, ,54,3,2,1,2
102109,2,3,1,35,3,1,7,2
102113,1,5, ,99,3,1,3,2
102116,1,3,1,38,1,1,1,2
102128,1,3,1,54,6,1,9,2
102129,1,3, ,37,6,1,4,2
102137,2,2,88,82,6,2,5,2
102141,1,2,1,57,7,1,9,2
102142,2,1, ,75,6,1,99,2
102150,1,1, ,70,7,1,6,2
102152,1,1,1,83,7,1,4,2
102153,1,4,1,30,5,1,99,2
102162,2,3, ,78,3,1,2,2
102171,2,4, ,99,6,4,99,2
102173,2,3,1,99,7,2,5,2
102177,1,2,1,43,6,1,7,2
102180,2,2,1,37,6,8,98,2
102185,2,1,1,18,2,4,7,2
102196,1,2, ,69,5,1,6,2
102198,1,2,1,34,7,1,8,2
102203,2,5,1,53,4,1,4,2
102205,2,3, ,77,5,1,4,2
102220,2,4,1,19,5,1,5,2
102230,2,2, ,67,6,1,7,2
102231,1,3,12,18,3,2,3,2
102235,2,3, ,79,3,1,4,2
102236,1,3, ,84,3,1,4,2
102239,1,3, ,38,3,1,4,2
102258,2,3, ,78,5,1,99,2
102259,2,1,1,80,7,1,5,2
102261,2,4, ,19,5,1,6,1
102262,2,3,1,34,4,1,9,2
102268,2,4, ,66,5,1,99,2
102269,1,3, ,75,5,1,6,2
102273,1,3,1,55,6,1,6,2
102275,1,1, ,73,7,1,98,2
102279,1,3,1,21,3,2,3,1
102285,2,2, ,49,3,1,5,2
102289,2,4, ,68,6,1,98,2
102291,1,2, ,63,2,1,2,2
102295,2,3, ,57,3,1,1,8
102297,2,2, ,42,5,1,6,2
102298,1,1, ,52,3,2,3,2
102306,2,4, ,85,6,1,99,2
102317,2,2,1,99,7,1,8,2
102329,2,3,1,61,3,1,99,2
102331,1,1,1,59,6,1,8,2
102332,1,3, ,56,6,1,99,2
102336,2,4, ,78,1,1,98,2
102338,1,5, ,44,3,1,1,2
102339,2,3,98,56,3,1,99,2
102340,1,3,88,99,5,1,99,2
102343,2,3, ,47,1,1,1,2
102347,1,1, ,75,6,1,1,1
102349,2,3, ,62,6,1,99,2
102353,2,4, ,78,5,1,4,2
102354,2,2,99,64,6,1,99,2
102355,2,3,1,52,7,1,6,2
102360,2,3, ,78,3,2,2,2
102362,2,2,1,64,7,1,99,2
102364,2,3,1,80,5,1,99,2
102365,2,2, ,71,5,1,99,2
102368,2,3, ,47,5,1,3,2
102370,2,4, ,65,3,1,7,2
102371,2,3, ,70,3,1,2,2
102379,2,4, ,74,5,1,99,2
102382,2,3,1,60,6,1,9,2
102385,2,2,1,44,5,1,7,2
102397,1,2,1,49,6,1,8,2
102398,1,1,98,44,5,1,99,9
102401,1,3, ,44,6,1,5,2
102410,1,3, ,62,7,1,8,2
102412,2,2,1,63,3,1,5,2
102414,1,4, ,66,7,1,6,2
102416,1,3, ,53,5,4,4,1
102417,2,4,1,61,7,1,3,2
102423,2,2, ,74,3,1,5,2
102424,2,4, ,65,6,1,99,2
102429,2,4,1,52,6,1,8,2
102430,2,3, ,42,5,1,1,2
102432,1,3, ,59,5,1,4,2
102433,2,3,1,32,7,1,7,2
102442,1,3, ,50,2,1,3,2
102445,1,2, ,55,3,1,4,2
102453,2,1, ,55,6,2,7,2
102454,2,4,1,43,3,1,8,2
